Year,Year ending,Police Region,Local Government Area,Incidents Recorded,"Rate per 100,000 population"
2016,December,4 Western, Central Goldfields," 1,013 "," 7,740.5 "
2016,December,4 Western, Colac-Otway," 1,445 "," 6,764.3 "
2016,December,4 Western, Corangamite, 733 ," 4,512.7 "
2016,December,4 Western, Gannawarra, 491 ," 4,646.5 "
2016,December,4 Western, Glenelg," 1,376 "," 6,963.9 "
2016,December,4 Western, Golden Plains, 646 ," 2,934.2 "
2016,December,4 Western, Greater Bendigo," 7,933 "," 7,066.2 "
2016,December,4 Western, Greater Geelong," 18,628 "," 7,776.9 "
2016,December,4 Western, Hepburn, 729 ," 4,695.7 "
2016,December,4 Western, Hindmarsh, 235 ," 4,062.9 "
2016,December,4 Western, Horsham," 1,880 "," 9,454.8 "
2016,December,4 Western, Loddon, 382 ," 5,054.2 "
2016,December,4 Western, Macedon Ranges," 1,646 "," 3,466.7 "
2016,December,4 Western, Mildura," 5,091 "," 9,314.3 "
2016,December,4 Western, Moorabool," 2,005 "," 6,136.8 "
2016,December,4 Western, Mount Alexander, 963 ," 5,042.7 "
2016,December,4 Western, Moyne, 491 ," 2,933.6 "
2016,December,4 Western, Northern Grampians, 936 ," 8,089.9 "
2016,December,4 Western, Pyrenees, 391 ," 5,344.5 "
2016,December,4 Western, Queenscliffe, 124 ," 4,233.5 "
2016,December,4 Western, Southern Grampians, 987 ," 6,121.7 "
2016,December,4 Western, Surf Coast," 1,093 "," 3,587.7 "
2016,December,4 Western, Swan Hill," 1,735 "," 8,303.0 "
2016,December,4 Western, Warrnambool," 2,492 "," 7,277.6 "
2016,December,4 Western, West Wimmera, 108 ," 2,743.2 "
2016,December,4 Western, Yarriambiack, 330 ," 4,894.0 "
2016,December,4 Western,Total," 67,210 "," 6,946.3 "
2016,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities," 1,002 ",
2016,December,Justice Institutions and Immigration Facilities,Total," 1,002 ",
2016,December,Unincorporated Vic, Unincorporated Vic, 121 ,
2016,December,Unincorporated Vic,Total, 121 ,
2015,December,1 North West Metro, Banyule," 6,858 "," 5,439.1 "
2015,December,1 North West Metro, Brimbank," 14,824 "," 7,380.3 "
2015,December,1 North West Metro, Darebin," 11,473 "," 7,549.3 "
2015,December,1 North West Metro, Hobsons Bay," 5,359 "," 5,845.7 "
2015,December,1 North West Metro, Hume," 14,884 "," 7,510.5 "
2015,December,1 North West Metro, Maribyrnong," 6,909 "," 8,149.0 "
2015,December,1 North West Metro, Melbourne," 24,855 "," 18,159.3 "
2015,December,1 North West Metro, Melton," 8,374 "," 6,206.9 "
2015,December,1 North West Metro, Moonee Valley," 6,955 "," 5,784.7 "
2015,December,1 North West Metro, Moreland," 11,168 "," 6,652.8 "
2015,December,1 North West Metro, Nillumbik," 1,941 "," 3,048.3 "
2015,December,1 North West Metro, Whittlesea," 10,378 "," 5,272.1 "
2015,December,1 North West Metro, Wyndham," 11,324 "," 5,296.2 "
2015,December,1 North West Metro, Yarra," 10,052 "," 11,178.5 "
2015,December,1 North West Metro,Total," 145,354 "," 7,349.6 "
2015,December,2 Eastern, Alpine, 357 ," 2,872.3 "
2015,December,2 Eastern, Bass Coast," 1,930 "," 5,924.6 "
2015,December,2 Eastern, Baw Baw," 2,490 "," 5,205.2 "
